# BEAST v1.8.4
# Generated Tue Jan 21 10:44:43 PST 2020 [seed=1579632280352]
# mumps-NA-DTA-skygrid-25-2020-01-16.xml
state	division
0	"virginia"
10000	"wisconsin"
20000	"wisconsin"
30000	"wisconsin"
40000	"washington"
50000	"massachusetts"
60000	"wisconsin"
70000	"massachusetts"
80000	"massachusetts"
90000	"ontario"
100000	"california"
110000	"british_columbia"
120000	"ontario"
130000	"california"
140000	"arkansas"
150000	"new_hampshire"
160000	"washington"
170000	"ontario"
180000	"georgia"
190000	"wisconsin"
200000	"missouri"
210000	"texas"
220000	"british_columbia"
230000	"british_columbia"
240000	"new_hampshire"
250000	"michigan"
260000	"illinois"
270000	"alabama"
280000	"texas"
290000	"british_columbia"
300000	"iowa"
310000	"north_dakota"
320000	"ohio"
330000	"new_jersey"
340000	"michigan"
350000	"massachusetts"
360000	"new_jersey"
370000	"ohio"
380000	"ohio"
390000	"texas"
400000	"british_columbia"
410000	"ohio"
420000	"british_columbia"
430000	"massachusetts"
440000	"louisiana"
450000	"new_jersey"
460000	"ohio"
470000	"ohio"
480000	"missouri"
490000	"texas"
500000	"washington"
510000	"massachusetts"
520000	"massachusetts"
530000	"washington"
540000	"alabama"
550000	"ontario"
560000	"kansas"
570000	"ohio"
580000	"ontario"
590000	"illinois"
600000	"arkansas"
610000	"california"
620000	"michigan"
630000	"washington"
640000	"california"
650000	"kansas"
660000	"manitoba"
670000	"north_dakota"
680000	"kansas"
690000	"manitoba"
700000	"michigan"
710000	"wisconsin"
720000	"iowa"
730000	"california"
740000	"ontario"
750000	"british_columbia"
760000	"north_dakota"
770000	"ontario"
780000	"ohio"
790000	"massachusetts"
800000	"louisiana"
810000	"illinois"
820000	"michigan"
830000	"montana"
840000	"ontario"
850000	"arkansas"
860000	"illinois"
870000	"indiana"
880000	"washington"
890000	"massachusetts"
900000	"missouri"
910000	"arkansas"
920000	"british_columbia"
930000	"missouri"
940000	"michigan"
950000	"arkansas"
960000	"iowa"
970000	"wisconsin"
980000	"new_york"
990000	"ohio"
1000000	"british_columbia"
1010000	"ohio"
1020000	"manitoba"
1030000	"new_hampshire"
1040000	"pennsylvania"
1050000	"north_dakota"
1060000	"california"
1070000	"arkansas"
1080000	"arkansas"
1090000	"manitoba"
1100000	"british_columbia"
1110000	"wisconsin"
1120000	"georgia"
1130000	"manitoba"
1140000	"kansas"
1150000	"wisconsin"
1160000	"indiana"
1170000	"washington"
1180000	"missouri"
1190000	"illinois"
1200000	"ohio"
1210000	"north_dakota"
1220000	"arkansas"
1230000	"washington"
1240000	"manitoba"
1250000	"texas"
1260000	"ontario"
1270000	"british_columbia"
1280000	"arkansas"
1290000	"north_dakota"
1300000	"ontario"
1310000	"kansas"
1320000	"indiana"
1330000	"massachusetts"
1340000	"kansas"
1350000	"manitoba"
